Id,Label,timeset,account,1,2,pr_indegree,pr_indegree_normalized,pr_domain,pr_proximity,pr_rank,pr_rank_min-max-normalized,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,pageranks,clustering
26,26,"<[8573607.0, 8864142.0]>",0xc142ae573b83277ea53057b90eb283598f90d615,8573607,8864142,1,0.000113,0.089053,0.015706,8573508,0.002375,1,1,2,1,1,2,7,0.168639,0.169511,0,0.000112,0.5
27,27,"<[8573625.0, 8864142.0]>",0x0a689fa04ac8b0897abead73c953192e82444789,8573625,8864142,1,0.000113,0.089053,0.019043,8570599,0.002375,1,1,2,1,1,2,7,0.168636,0.169508,784,0.000081,0
28,28,"<[8573706.0, 8864142.0]>",0x4a256d92054abb3e549d273b9b42ff196e55c2c0,8573706,8864142,1,0.000113,0.089053,0.019043,8570599,0.002375,1,1,2,1,1,2,7,0.168636,0.169508,784,0.000081,0
29,29,"<[8573725.0, 8864142.0]>",0x56e3cc8892d6cacc9f679c866dbf6cde56ba0042,8573725,8864142,2,0.000227,0.089053,0.024164,17170058,0.004757,2,3,5,8,3,11,6,0.327294,0.331133,1568.033898,0.000361,0.083333
30,30,"<[8573945.0, 8864142.0]>",0xa129b0a818725b4df38cac0394e3362625c5e719,8573945,8864142,1,0.000113,0.089053,0.019043,8570599,0.002375,1,1,2,1,1,2,7,0.168636,0.169508,784,0.000081,0
31,31,"<[8574133.0, 8864142.0]>",0xff405ebd17e8fe8b0b61d783ecd77d404d563da4,8574133,8864142,2,0.000227,0.089053,0.024181,17170058,0.004757,2,3,5,2,3,5,7,0.168669,0.169722,2288.921398,0.000361,0.05
32,32,"<[8574164.0, 8864142.0]>",0x4f1aedbad87441b5705a52bb6f172b34dc13c183,8574164,8864142,1,0.000113,0.089053,0.019048,8521427,0.002361,1,4,5,1,5,6,7,0.168682,0.169793,2353.5,0.000123,0
33,33,"<[8574199.0, 8864142.0]>",0xb26e00f9209c8a2974f8253f74001cc4c36b6f94,8574199,8864142,1,0.000113,0.089053,0.019043,8570599,0.002375,1,1,2,1,2,3,7,0.168636,0.169508,784,0.000081,0
34,34,"<[8574270.0, 8864142.0]>",0xa98393e0819ce03aa41727d71866576044f266d1,8574270,8864142,1,0.000113,0.089053,0.019043,8570599,0.002375,1,1,2,1,1,2,7,0.168636,0.169508,784,0.000081,0
35,35,"<[8574344.0, 8864142.0]>",0x7c4c3c13edc36d74abe3614802e8ef64a82e47f3,8574344,8864142,1,0.000113,0.089166,0.019065,8570599,0.002375,1,0,1,1,0,1,0,0,0,0,0.000081,0
36,36,"<[8574356.0, 8864142.0]>",0x2fdf36aa149f907accd97fea7c1697ebea94a342,8574356,8864142,2,0.000227,0.089053,0.024181,17170058,0.004757,2,1,3,3,1,4,7,0.168629,0.169498,784.016949,0.000361,0.166667
37,37,"<[8574363.0, 8864142.0]>",0x593b732f6693d4dc7eebeae754606ba48b50d3f8,8574363,8864142,1,0.000113,0.089053,0.019043,8570599,0.002375,1,2,3,1,2,3,7,0.168652,0.169604,29.444444,0.000081,0
